iter	Passed	Remaining
391	3684	1014
392	3690	1004
393	3696	994
394	3702	984
395	3710	974
396	3716	964
397	3724	954
398	3730	944
399	3737	934
400	3743	924
401	3751	914
402	3758	904
403	3767	895
404	3775	885
405	3785	876
406	3793	866
407	3805	858
408	3813	848
409	3821	838
410	3829	829
411	3837	819
412	3846	810
413	3854	800
414	3862	791
415	3871	781
416	3880	772
417	3889	763
418	3898	753
419	3908	744
420	3918	735
421	3926	725
422	3935	716
423	3944	707
424	3952	697
425	3961	688
426	3968	678
427	3976	668
428	3982	659
429	3989	649
430	3997	639
431	4004	630
432	4011	620
433	4019	611
434	4025	601
435	4032	591
436	4039	582
437	4045	572
438	4052	563
439	4059	553
440	4065	543
441	4072	534
442	4078	524
443	4084	515
444	4091	505
445	4098	496
446	4104	486
447	4111	477
448	4119	467
449	4125	458
450	4131	448
451	4137	439
452	4144	429
453	4150	420
454	4156	411
455	4163	401
456	4169	392
457	4176	382
458	4183	373
459	4190	364
460	4197	355
461	4204	345
462	4211	336
463	4220	327
464	4227	318
465	4236	309
466	4243	299
467	4251	290
468	4258	281
469	4267	272
470	4275	263
471	4284	254
472	4290	244
473	4300	235
474	4306	226
475	4314	217
476	4320	208
477	4328	199
478	4336	190
479	4343	180
480	4350	171
481	4357	162
482	4364	153
483	4371	144
484	4379	135
485	4387	126
486	4395	117
487	4401	108
488	4409	99
489	4415	90
490	4423	81
491	4431	72
492	4440	63
493	4447	54
494	4453	44
495	4460	35
496	4466	26
497	4475	17
498	4482	8
499	4490	0
