iter	CrossEntropy
167	0.3885672624
168	0.3877584878
169	0.3869410331
170	0.3862065738
171	0.3849819138
172	0.3836792999
173	0.3829174115
174	0.3818880713
175	0.3808436698
176	0.3802626168
177	0.3792396652
178	0.3783415362
179	0.3772504459
180	0.3765530273
181	0.3759511135
182	0.374901536
183	0.3742018103
184	0.3735268149
185	0.372698814
186	0.3719962961
187	0.3714774576
188	0.3709313734
189	0.3697502865
190	0.3690245397
191	0.3682476009
192	0.3677789988
193	0.3669738102
194	0.3661343988
195	0.3650344239
196	0.3642364814
197	0.3633593675
198	0.3622063766
199	0.3614282111
200	0.3605229509
201	0.359510152
202	0.3586153579
203	0.3578028667
204	0.3566725385
205	0.355696441
206	0.3549972914
207	0.3542530423
208	0.3528465875
209	0.3521379066
210	0.3511028026
211	0.3506057262
212	0.3500717517
213	0.3497691583
214	0.3486076119
215	0.3478587615
216	0.3471923214
217	0.3459666999
218	0.3454575886
219	0.3445098371
220	0.3441058163
221	0.3433208508
222	0.3422263398
223	0.3406599253
224	0.3393858125
225	0.3386678352
226	0.3378707885
227	0.3371869372
228	0.3361824233
229	0.3353604285
230	0.334276224
231	0.333433316
232	0.3327603757
233	0.3319148306
234	0.330865323
235	0.3301430564
236	0.3296319302
237	0.3289841588
238	0.3280928616
239	0.3274647574
240	0.3262657965
241	0.325360371
242	0.3245401733
243	0.3237341701
244	0.3226142457
245	0.3217895222
246	0.3208786892
247	0.3197631022
248	0.3188009922
249	0.3181639567
250	0.3173385391
251	0.3164354557
252	0.3156500943
253	0.3150928744
254	0.3145357639
255	0.3134242432
256	0.3122180998
257	0.3110127529
258	0.3099956137
259	0.3095121046
260	0.3084722713
261	0.3078171109
262	0.3071845281
263	0.3066104866
264	0.3056239751
265	0.3050018013
266	0.3042829532
267	0.3037201839
268	0.3026417864
269	0.3023207695
270	0.3018160056
271	0.3002196957
272	0.2998195524
273	0.2991153555
274	0.2987184898
275	0.2980417216
276	0.297222584
277	0.2969320155
278	0.2963471071
279	0.2956990884
280	0.2950789956
281	0.2942262719
282	0.2936249289
283	0.2931529092
284	0.2924969338
285	0.2915804367
286	0.2907744599
287	0.2900326036
288	0.2892261827
289	0.2886802165
290	0.2879807424
291	0.2865486771
292	0.2856325154
293	0.284635928
294	0.283791956
295	0.2833120335
296	0.2826550714
297	0.2822569349
298	0.2814744835
299	0.2801087143
300	0.2795609132
301	0.2788708785
302	0.277985094
303	0.2773285425
304	0.2765380265
305	0.2751649248
306	0.2742046374
307	0.2734525971
308	0.2729811675
309	0.2716114338
310	0.270702806
311	0.2700905246
312	0.2694553923
313	0.2690828646
314	0.2686723535
315	0.2680112799
316	0.2676713912
317	0.2670447848
318	0.2664146775
319	0.265786226
320	0.2648642803
321	0.2645058098
322	0.2641707612
323	0.2635811507
324	0.2630859993
325	0.262375912
326	0.2617108161
327	0.260990112
328	0.2601408946
329	0.259422916
330	0.2587128596
331	0.2581383287
332	0.2574807842
333	0.2568156414
334	0.2562585694
335	0.2557594343
336	0.2551737295
337	0.2549390276
338	0.2542809332
339	0.2534310618
340	0.2528095992
341	0.2518027047
342	0.2511654025
343	0.2508566877
344	0.2502921249
345	0.2497988138
346	0.2488972706
347	0.2484462242
348	0.2479497517
349	0.2475019825
350	0.2471046784
351	0.2469360004
352	0.2463165846
353	0.2459798921
354	0.2455215828
355	0.2451803731
356	0.2447007253
357	0.244207033
358	0.2435938112
359	0.2430925782
360	0.2423790631
361	0.2421060525
362	0.2416174758
363	0.2411588776
364	0.2404822893
365	0.2399305943
366	0.2389951235
367	0.2384534597
368	0.2377998295
369	0.2371967956
370	0.2366412461
371	0.2361418455
372	0.235473409
373	0.2348268672
374	0.234119785
375	0.2335666193
376	0.2331986201
377	0.2322924108
378	0.2313381815
379	0.2308792352
380	0.2302736154
381	0.2299888773
382	0.2294699229
383	0.2285951759
384	0.2282362308
385	0.2275037986
386	0.2271183217
387	0.2268025086
388	0.2261926053
389	0.2254439273
390	0.2250342698
391	0.2242424576
392	0.2236769832
393	0.2232745727
394	0.2223546103
395	0.2216549367
396	0.2212395308
397	0.2209955725
398	0.2205713613
399	0.2200053182
400	0.2195446996
401	0.2190172901
402	0.2185785426
403	0.2178515113
404	0.2174429113
405	0.2170563025
406	0.2165321639
407	0.2157757647
408	0.215007164
409	0.2147334667
410	0.2141755287
411	0.2139513322
412	0.2136085585
413	0.2129909694
414	0.2125222817
415	0.2119096259
416	0.211360875
417	0.2108699049
418	0.2102063199
419	0.20984569
420	0.2093040213
421	0.2088269094
422	0.2084238805
423	0.2078791908
424	0.2071466468
425	0.206545176
426	0.2060528592
427	0.2055767636
428	0.2052685244
429	0.2048290352
430	0.204407426
431	0.2037104916
432	0.2031590312
433	0.2027510947
434	0.2024475878
435	0.2022023967
436	0.2018175502
437	0.2011750115
438	0.2007971992
439	0.2005509594
440	0.2000168242
441	0.1997038282
442	0.1993405551
443	0.1991355064
444	0.1986109297
445	0.1981956761
446	0.1979022118
447	0.1975709441
448	0.1970351766
449	0.1965947614
450	0.1961775613
451	0.1957162879
452	0.1953484037
453	0.195065054
454	0.1946934278
455	0.1944720777
456	0.1939855216
457	0.193678225
458	0.1932188183
459	0.1929367615
460	0.1925474113
461	0.1919403899
462	0.1915407637
463	0.1910523547
464	0.1905596673
465	0.1900641485
466	0.189487348
467	0.1891150333
468	0.1885575572
469	0.1881338586
470	0.1876831469
471	0.1873082617
472	0.1868339303
473	0.1866325557
474	0.186331544
475	0.1857629224
476	0.1854478733
477	0.1850629401
478	0.1844976266
479	0.1839488915
480	0.1835394623
481	0.1831983373
482	0.1829886121
483	0.1826764971
484	0.1823389002
485	0.1819096297
486	0.1815948236
487	0.1813589079
488	0.1809837245
489	0.1804922025
490	0.1802195756
491	0.1798291522
492	0.1795433675
493	0.1790320458
494	0.1786759607
495	0.1782529523
496	0.1777433603
497	0.1773418106
498	0.1767047535
499	0.1765222745
